,Requirements for,CHEMISTRY,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",
2,HSSA Requirements,36 credits,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,
7,   HSSA #5  ,,H or S or L,4 credits,,,
8,   HSSA #6  ,,H or S or L,4 credits,,,
9,   HSSA #7  ,,H or S or L,4 credits,,,
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,
12,General Requirements,40 credits,,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,
14,   BIO 110 *,,Biology I    *(or BIO120 or BIO130),4 credits,,,
15,   MA 111,,Calculus I,5 credits,,,
16,   MA 112,,Calculus II,5 credits,,,
17,   MA 113,,Calculus III,5 credits,,,
18,   MA 381,,Intro to Probablity w/ App to Stats,4 credits,,,
19,   PH 111,,Physics I,4 credits,,,
20,   PH 112,,Physics II,4 credits,,,
21,   PH 113,,Physics III,4 credits,,,
22,   MA/SCI ELEC,,Math/Science Elective (200-level or higher),4 credits,,,"200-level or higher in BIO, BMTH, CSSE, GEOL, ECONS, MA, or PH"
23,CHEM Requirements,83 credits,,,,,
24,   CHEM 111,,"Chemistry I   (Lect@3,Lab@1)",4 credits,,,
25,   CHEM 113,,"Chemistry II   (Lect@3,Lab@1)",4 credits,,,
26,   CHEM 115,,"Chemistry III   (Lect@3,Lab@1)",4 credits,,,
27,   CHEM 200,,Career Prep,1 credits,,,
28,   CHEM 225,,"Analytical Chemistry I (Lect@3,Lab@1)",4 credits,,,
29,   CHEM 251,,"Organic Chemistry I  (Lect@3,Lab@1)",4 credits,,,
30,   CHEM 252,,"Organic Chemistry II (Lect@3,Lab@1)",4 credits,,,
31,   CHEM 253,,"Organic Chemistry III (Lect@3,Lab@1)",4 credits,,,
32,   CHEM 291,,Intro to Undergraduate Research,3 credits,,,
33,   CHEM 326,,Bioanalytical Chemistry,4 credits,,,
34,   CHEM 327,,Advanced Analytical Chemistry,4 credits,,,
35,   CHEM 330,,Biochemistry,4 credits,,,
36,   CHEM 361**,,Physical Chemistry I ,4 credits,,," ** CHE 303, CHE 304 and CHEM 360 may be
  substituted for CHEM 361 and CHEM 362"
37,   CHEM 362**,,Physical Chemistry II ,4 credits,,,
38,   CHEM 363,,Quantum Chem & Molec Spect,4 credits,,,
39,   CHEM 395,,Chemistry Seminar,0 credits,,,
40,   CHEM 441,,Inorganic Chemistry I,4 credits,,,
41,   CHEM 442,,Inorganic Chemistry II,4 credits,,,
42,   CHEM 490,,Research Rotation,2 credits,,,
43,   CHEM 490,,Research Rotation,2 credits,,,
44,   CHEM 490,,Research Rotation,2 credits,,,
45,   CHEM 491,,Research Thesis,1 credits,,,
46,   CHEM 495,,Chemistry Seminar,0 credits,,,
47,   CHEM 496,,Chemistry Seminar,0 credits,,,
48,   CHEM 497,,Senior Presentation,1 credits,,,
49,   CHEM _________,,Advanced CHEM Elective        (JR/Spr),4 credits,,,
50,   CHEM _________,,CHEM Elective                        (SR/Fall),4 credits,,,
51,   CHEM _________,,Advanced CHEM Elective        (SR/Fall),1 credits,,,
52,   CHEM _________,,Advanced CHEM Elective        (SR/Wint),1 credits,,,
53,   CHEM _________,,Advanced CHEM Elective        (SR/Spr),1 credits,,,
54,Electives,32 credits,,,,,
55,,,Free Elective,4 credits,,,
56,,,Free Elective,4 credits,,,
57,,,Free Elective,4 credits,,,
58,,,Free Elective,4 credits,,,
59,,,Free Elective,4 credits,,,
60,,,Free Elective,4 credits,,,
61,,,Free Elective,4 credits,,,
62,,,Free Elective,4 credits,,,
63,,191 credits, - CHEM Total Credit Hours Required -,191 credits,,,
