,Requirements for,CIVIL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade"
2,HSSA Requirements,36 credits,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,
5,   HSSA #3  ,,Social Sciences (S),4 credits,,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,
7,   HSSA #5  ,,H or S or L,4 credits,,
8,   HSSA #6  ,,H or S or L,4 credits,,
9,   HSSA #7  ,,H or S or L,4 credits,,
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,
12,General Requirements,44 credits,,,,
13,   CHEM 111,,Chemistry I     (Lect@3 + Lab@1),4 credits,,
14,   CHEM 113,,Chemistry II    (Lect@3 + Lab@1),4 credits,,
15,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,
16,   MA 111,,Calculus I,5 credits,,
17,   MA 112,,Calculus II,5 credits,,
18,   MA 113,,Calculus III,5 credits,,
19,   MA 221,,Matrix Algebra & Diff Equations I,4 credits,,
20,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,
21,   MA 223,,Engineering Statistics I,4 credits,,
22,   PH 111,,Physics I,4 credits,,
23,   PH 112,,Physics II,4 credits,,
24,CE Requirements,90 credits,,,,
25,   CE 101,,Engineering Surveying I,2 credits,,
26,   CE 111,,Geographic Information Systems,2 credits,,
27,   CE 250,,Sustainable Civil Engineering Design,2 credits,,
28,   CE 303,,Engineering Economy,4 credits,,
29,   CE 310,,CE Numerial Methods,2 credits,,
30,   CE 320,,CE Materials,4 credits,,
31,   CE 321,,Structural Mechanics I,4 credits,,
32,   CE 336,,Soil Mechanics,4 credits,,
33,   CE 371,,Hydraulic Engineering,4 credits,,
34,   CE 380,,Intro to Transportation Engineering,4 credits,,
35,   CE 400,,Career Prep Seminar,0 credits,,
36,   CE 431,,Structural Design in Steel I,3 credits,,
37,   CE 432,,Structural Design in Concrete,3 credits,,
38,   CE 441,,Construction Engineering,2 credits,,
39,   CE 450,,CE Codes & Regulations,4 credits,,
40,   CE 460,,Environmental Engineering,4 credits,,
41,   CE 461,,Environmental Engineering Lab,2 credits,,
42,   CE 471,,Water Resources Engineering,4 credits,,
43,   CE 486,,CE Design & Synthesis I,2 credits,,
44,   CE 487x,,Technical System Design & Synthesis,2 credits,,
45,   CE 488,,CE Design & Synthesis II,2 credits,,
46,   CE 489,,CE Design & Synthesis III,2 credits,,
47,   CE _________,,CE Elective #1 - CE400 or 500 Level,4 credits,,
48,   CE _________,,CE Elective #2 - CE400 or 500 Level,4 credits,,
49,   EM 102,,Graphical Comm for Civil Engr,2 credits,,
50,   EM 103,,Intro to Design,2 credits,,
51,   EM 120,,Engineering Statics,4 credits,,
52,   EM 202,,Dynamics,4 credits,,
53,   EM 203,,Mechanics of Materials,4 credits,,
54,   EM 301,,Fluid Mechanics,4 credits,,
55, Two of the following,,"CE205, CHE 201, CHE202 or 
both ES213 and ES213L",4 credits,,
56,   four courses: ,,,4 credits,,
57,Electives,16 credits,,,,
58,,,Science Elective,4 credits,,
59,,,"Science Elect  (Excluding CHEM,PH)",4 credits,,
60,,,Technical Elective,4 credits,,
61,,,Technical Elective,4 credits,,
62,,186 credits, - CE Total Credit Hours Required -,194 credits,,
