,Requirements for,International Computer Science,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade"
2,HSS Requirements,36 credits,,,,
3,   HSS #1 - HUM H190,,First-Year Writing Seminar,4 credits,,
4,   HSS #2 - GE 111,,German I,4 credits,,
5,   HSS #3 - GE 112,,German II,4 credits,,
6,   HSS #4 - GE 113,,German III,4 credits,,
7,   HSS #5 - ENGL H290,,"Technical,Professional Communication",4 credits,,
8,   HSS #6 -   (Ulm),,Technical German (taken at Ulm),4 credits,,
9,   HSS #7,,H or S or L,4 credits,,
10,   HSS #8 ,,H or S or L,4 credits,,
11,   HSS #9,,H or S or L,4 credits,,
12,General Requirements,52 credits,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,
14,   CHEM 111,,"Chemistry I   (Lect @ 3, Lab @ 1)",4 credits,,
15,   ECE 233,,Digital Systems,4 credits,,
16,   MA 111,,Calculus I,5 credits,,
17,   MA 112,,Calculus II,5 credits,,
18,   MA 113,,Calculus III,5 credits,,
19,   MA 221,,Matrix Algebra & Syst Diff Equatns I,4 credits,,
20,   MA 276,,Introduction to Proofs,4 credits,,
21,   MA 371 or MA373,,Linear Algebra I or Applied Linear Alg,4 credits,,
22,   MA 374,,Combinatorics,4 credits,,
23,   MA 381,,Intro to Probability w/ App to Stats,4 credits,,
24,   PH 111,,Physics I,4 credits,,
25,   PH 112,,Physics II,4 credits,,
26,CS Requirements,84 credits,,,,
27,   CSSE 120,,Intro to Software Development,4 credits,,
28,   CSSE 132,,Introduction to Computer Systems,4 credits,,
29,   CSSE 212 (Ulm),,Hardware-oriented Programming,4 credits,,
30,   CSSE 220,,Object Oriented Software Develpmnt,4 credits,,
31,   CSSE 225 (Ulm),,Programming 3,4 credits,,
32,   CSSE 230,,Data Structures & Algorithm Anlsys,4 credits,,
33,   CSSE 232,,Computer Architecture I,4 credits,,
34,   CSSE 304,,Programming Language Concepts,4 credits,,
35,   CSSE 332 (Ulm),,Operating Systems,4 credits,,
36,   CSSE 333,,Database Systems,4 credits,,
37,   CSSE 371 (Ulm),,Software Requirements Engineering,4 credits,,
38,   CSSE 374 (Ulm),,Software Design,4 credits,,
39,   CSSE 400 (Ulm),,Seminar,4 credits,,
40,   CSSE 432 (Ulm),,Computer Networks,4 credits,,
41,   CSSE 473 (or MA),,Design & Analysis of Algorithms,4 credits,,
42,   CSSE 474 (or MA),,Theory of Computation,4 credits,,
43,   CSSE 494,,SR Thesis I,4 credits,,
44,   CSSE 495,,SR Thesis II,4 credits,,
45,   CSSE 496,,SR Thesis III,4 credits,,
46,   CSSE _________,,CSSE Elective - Module 1 - Ulm,4 credits,,
47,   CSSE _________,,CSSE Elective - Module 2 - Ulm,4 credits,,
48,Electives,20 credits,,,,
49,,,Science Elective,4 credits,,
50,,,Free Elective,4 credits,,
51,,,Free Elective,4 credits,,
52,,,Free Elective,4 credits,,
53,,,Free Elective,4 credits,,
54,,192 credits, - ICS Total Credit Hours Required -,192 credits,,
