,Requirements for,Computational Science,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5
0,Student Name:,Insert your name here,,Priority of this major:,,2nd
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade"
2,Required Courses,,,,,
4,CPLS I,31 credits,,,,
5,  Fundamentals  (31 Cr Hrs):,,,,,
6,   CSSE 120 **,,Intro to Sofware Development,4 credits,,
7,   MA 111,,Calculus I,5 credits,,
8,   MA 112,,Calculus II,5 credits,,
9,   MA 113,,Calculus III,5 credits,,
10,   MA 221,,Matrix Algebra & Diff Equations I,4 credits,,
11,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,
12,   MA 332 ***,,Intro to Computational Science,4 credits,,
14,CPLS II,21 credits,,,,
15,  Advanced (20 Cr Hrs) - these courses are required and may NOT be counted toward the primary major:,,,,,
16,   CSSE or MA 335,,Intro to Parallel Computing,4 credits,,
17,   MA 336,,Boundary Value Problems,4 credits,,
18,   MA 342,,Computational Modeling,4 credits,,
19,   MDS 442,,Applied Computational Modeling,1 credits,,
20,   MA 435  -or-  ME422,,Finite Difference Methods  -or-,4 credits,,
21,,,Finite Element Methods for Eng Apps,,,
22,   Adv Elective,,Specify course to be taken,4 credits,,
24,CPLS III,20 credits,,,,
25,  Area of Concentration (20 CrHrs):   ,,"Specify Concentration to be completed here, then list courses below",,,
26,   Crse 1:  ,,,4 credits,,
27,   Crse 2:  ,,,4 credits,,
28,   Crse 3:  ,,,4 credits,,
29,   Crse 4:  ,,,4 credits,,
30,   Crse 5:  ,,,4 credits,,
33,,72 credits, CPLS Total Credit Hours Required,72 credits,,
35,      * Courses (below) marked with an asterisk carry only 2 credits and must be augmented by an additional 2 credits of coursework,,,,,
36,"    ** CSSE120 or any of BE100, CE111*, CHE110*, ENGD120 or ME123",,,,,
37,"  *** ME332 or any of CHE310, ME323*, or ME327",,,,,
