Requirements for,OPTICAL ENGINEERING,,,...Catalog Year 2023-2024,,"If this is the 1st/Primary
major and the Course Requirement to the left
will not be taken, note 
the Approved Course Substitution below.","If this is the 2nd major,
an X below indicates that
the course is required and
must be taken (or note the
Approved Course Substitution below).",,,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS Requirements,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #1 - HUM H190,,First-Year Writing Seminar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #2  ,,Humanities & Arts (H),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #3  ECON,,Social Sciences (S)  ECON 151 or 152,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #4  ,,H or S or Language (L),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #5  ,,H or S or L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #6  ,,H or S or L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #7  ,,H or S or L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #8  ,,H or S (cannot be a language),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
