,Requirements for,BIOMATHEMATICS,Unnamed: 3,Unnamed: 4,...Catalog Year 2023-2024,Unnamed: 6
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade"
2,HSSA Requirements,36 credits,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,
5,   HSSA #3  ,,Social Sciences (S),4 credits,,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,
7,   HSSA #5  ,,H or S or L,4 credits,,
8,   HSSA #6  ,,H or S or L,4 credits,,
9,   HSSA #7  ,,H or S or L,4 credits,,
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,
12,General Requirements,45 credits,,,,
13,  RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,
14,  BIO 110,,Cell Structure and Function,4 credits,,
15,  BIO 13,,Evolution and Diversity,4 credits,,
16,  BIO 21,,Mendelian & Molecular Genetic,4 credits,,
17,  BIO 22,,Microbiology,4 credits,,
18,  BIO 23,,Cell Biology,4 credits,,
19,  CHEM 111,,"General Chemistry I  (Lect@3, Lab@1)",4 credits,,
20,  CHEM 113,,"General Chemistry II (Lect@3, Lab@1)",4 credits,,
21,  CSSE 120,,Intro to Software Development,4 credits,,
22,  PH 111,,Physics I,4 credits,,
23,  PH 112,,Physics II,4 credits,,
24,  PH 113/CHEM251,,Physics III (Add'l Science),4 credits,,
25,MA Requirements,68 credits,,,,
26,  MA 111,,Calculus I,5 credits,,
27,  MA 112,,Calculus II,5 credits,,
28,  MA 113,,Calculus III,5 credits,,
29,  MA 200,,Career Preparation,1 credits,,
30,  MA 221,,Matrix Alg & Syst of Diff Equations I,4 credits,,
31,  MA 222,,Matrix Alg & Syst of Diff Equations II,4 credits,,
32,  MA 332,,Intro to Computational Sci.,4 credits,,
33,  MA 371,,Linear Algebra I,4 credits,,
34,  MA 381,,Intro to Probability,4 credits,,
35,  MA 382,,Intro to Statistics w/Prob,4 credits,,
36,Biomath Core,,,,,
37,  BMTH 301 (or 302),,Intro to Biomath:Continuous(Discrete),4 credits,,
38,  BMTH 311,,Systems Biology,4 credits,,
39,  BMTH 312,,Bioinformatics,4 credits,,
40,  BMTH 413,,Computational Biology,4 credits,,
41,  BMTH 496,,Capstone Experience I,2 credits,,
42,  BMTH 497,,Capstone Experience II,4 credits,,
43,  BMTH 498,,Capstone Experience III,2 credits,,
44,  BMTH _________,,Biomath Elective,4 credits,,
45,Electives,44 credits,,,,
46,,,Domain Elective (See list in catalog),4 credits,,
47,,,Math Elect (300 or above or MA275),4 credits,,
48,,,Math Elect (300 or above or MA275),4 credits,,
49,,,Technical Elective,4 credits,,
50,,,Technical Elective,4 credits,,
51,,,Technical Elective,4 credits,,
52,,,Technical Elective,4 credits,,
53,,,Technical Elective,4 credits,,
54,,,Free Elective,4 credits,,
55,,,Free Elective,4 credits,,
56,,,Free Elective,4 credits,,
57,,193 credits,BMTH Total Credit Hours Required -,193 credits,,
