,Requirements for,BIOMATHEMATICS as a 2nd Major,Unnamed: 3,Unnamed: 4,...Catalog Year 2023-2024,Unnamed: 6,whether required for second major,Unnamed: 8
0,Student Name:,Insert your name here,,Priority of this major:,,2nd,,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",,
2,MA Requirements,32 credits,,,,,,
3,  MA 221,,Matrix Algebra & Differential Equations I,4 credits,,,required for second major in biomathematics,
4,  MA 332,,Intro to Computational Sci.,4 credits,,,required for second major in biomathematics,
5,  MA 371 or MA 373,,Linear Algebra or Applied Linear Algebra,4 credits,,,required for second major in biomathematics,
6,  MA 381,,Intro to Probability,4 credits,,,required for second major in biomathematics,
7,  MA 382 or MA 223,,Intro to Statistics w/Prob or Engineering Statistics,4 credits,,,required for second major in biomathematics,
8,  MA _______,,Mathematics Elective (300 or above or MA275),4 credits,,,required for second major in biomathematics,
9,  MA _______,,Mathematics Elective (300 or above or MA275),4 credits,,,required for second major in biomathematics,
10,  BMTH _______,,Biomathematics Elective (300 or above or MA482),4 credits,,,required for second major in biomathematics,
11,Biology core,16 credits,,,,,required for second major in biomathematics,
12,  BIO 110,,Cell Structure and Function,4 credits,,,required for second major in biomathematics,
13, Any 3 of the following biology courses:,,,,,,required for second major in biomathematics,Any three from the list:
14,  BIO 13,,Evolution and Diversity,4 credits,,,,
15,"  BIO 120 or
  BIO 21",,Comparative Anatomy & Physiology or Mendelian & Molecular Genetic,4 credits,,,,
16,  BIO 22,,Microbiology,4 credits,,,,
17,"  BIO 205 or 
  BIO 23",,"Cellular Physiology or
Cell Biology",4 credits,,,,
18,Biomath Core,24 credits,,,,,,
19,  BMTH 301 or 302,,Intro Biomath:ContinuousModels (or Discrete Mdls),4 credits,,,required for second major in biomathematics,
20,  BMTH 311,,Systems Biology,4 credits,,,required for second major in biomathematics,
21,  BMTH 312,,Bioinformatics,4 credits,,,required for second major in biomathematics,
22,  BMTH 413,,Computational Biology,4 credits,,,required for second major in biomathematics,
23,  BMTH 496,,Capstone Experience I,2 credits,,,required for second major in biomathematics,
24,  BMTH 497,,Capstone Experience II,4 credits,,,required for second major in biomathematics,
25,  BMTH 498,,Capstone Experience III,2 credits,,,required for second major in biomathematics,
26,,72 credits, - MA Total Credit Hours Required -,72 credits,,,,
