,Requirements for,BIOMEDICAL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",
2,HSSA Requirements,36 credits,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
12,General Requirements,44 credits,,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
14,   CHEM 111,,"Chemistry I (Lect @ 3 hrs, Lab @ 1 hr.)",4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
15,   CHEM 113,,"Chemistry II (Lect @ 3 hrs, Lab @ 1 hr.)",4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
16,   MA 111,,Calculus I,5 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
17,   MA 112,,Calculus II,5 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
18,   MA 113,,Calculus III,5 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
19,   MA 221,,Matrix Alg & Diff Equations I,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
20,   MA 222,,Matrix Alg & Diff Equations II,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
21,   MA 223,,Engineering Statistics I,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
22,   PH 111,,Physics I,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
23,   PH 112,,Physics II,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
24,ME Requirements,91 credits,,,,,
25,   BIO 110,,Cell & Molecular Biology,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
26,   BIO 130,,Ecology and Evolution,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
27,   BE 100,,Prob Solving in the Bio Sci & Enrg,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
28,   BE 118,,Design Thinking & Communciation,2 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
29,   BE 121,,D C Circuits,2 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
30,   BE 122,,Systems Accounting & Modeling I,3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
31,   BE 128,,Design Thinking & Realization,3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
32,   BE 131,,A C Circuits,2 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
33,   BE 132,,Systems Accounting & Modeling II,3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
34,   BE 138,,Design Thinking & Human-Centered Prod,3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
35,   BE 211,,"Circuits, Sensors, & Measurements",3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
