,Requirements for,CHEMISTRY,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",
2,HSSA Requirements,36 credits,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
12,General Requirements,40 credits,,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
14,   BIO 110 *,,Biology I    *(or BIO120 or BIO130),4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
15,   MA 111,,Calculus I,5 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
16,   MA 112,,Calculus II,5 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
17,   MA 113,,Calculus III,5 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
18,   MA 381,,Intro to Probablity w/ App to Stats,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
19,   PH 111,,Physics I,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
20,   PH 112,,Physics II,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
21,   PH 113,,Physics III,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
22,   MA/SCI ELEC,,Math/Science Elective (200-level or higher),4 credits,,,"200-level or higher in BIO, BMTH, CSSE, GEOL, ECONS, MA, or PH"
23,CHEM Requirements,83 credits,,,,,
24,   CHEM 111,,"Chemistry I   (Lect@3,Lab@1)",4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
25,   CHEM 113,,"Chemistry II   (Lect@3,Lab@1)",4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
26,   CHEM 115,,"Chemistry III   (Lect@3,Lab@1)",4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
27,   CHEM 200,,Career Prep,1 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
28,   CHEM 225,,"Analytical Chemistry I (Lect@3,Lab@1)",4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
29,   CHEM 251,,"Organic Chemistry I  (Lect@3,Lab@1)",4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
30,   CHEM 252,,"Organic Chemistry II (Lect@3,Lab@1)",4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
