,Requirements for,COMPUTER ENGINEERING,COMPUTER ENGINEERING.1,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",,
2,HSSA Requirements,36 credits,,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
12,General Requirements,68 credits,,,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
14,   CSSE 120,,Intro to Software Development,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
15,   CSSE 220,,Object Oriented Software Develpmnt,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
16,   CSSE 230,,"Data Structures, Algorithm Analysis",4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
17,   CSSE 232,,Computer Architecture I,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
18,   CSSE 332,,Operating Systems,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
19,   MA 111,,Calculus I,5 credits,,,required for first major in computer engineering; required for second major in computer engineering,
20,   MA 112,,Calculus II,5 credits,,,required for first major in computer engineering; required for second major in computer engineering,
21,   MA 113,,Calculus III,5 credits,,,required for first major in computer engineering; required for second major in computer engineering,
22,   MA 221,,Matrix Algebra & Diff Equations I,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
23,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
24,   MA 374,,Combinatorics,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
25,   MA 381,,Intro to Probability w/ App to Stats,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
26,   PH 111,,Physics I,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
27,   PH 112,,Physics II,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
28,   PH 113,,Physics III,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
29,"  Restricted Sci Elect: BIO110,120,BIO130/CHEM111/PH255,405",,,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
30,CPE Requirements,74 credits,,,,,,
31,   ECE 160,,Engineering Practice,2 credits,,,required for first major in computer engineering; required for second major in computer engineering,
32,   ECE 180,,Intro to Signal Processing,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
33,   ECE 203,,DC Circuits,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
34,   ECE 204,,AC Circuits,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
35,   ECE 205,,Circuits and Systems,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
