,Requirements for,COMPUTER SCIENCE,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",,
2,HSSA Requirements,36 credits,,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in computer science; not required for second major in computer science,
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in computer science; not required for second major in computer science,
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,required for first major in computer science; not required for second major in computer science,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in computer science; not required for second major in computer science,
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in computer science; not required for second major in computer science,
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in computer science; not required for second major in computer science,
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in computer science; not required for second major in computer science,
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in computer science; not required for second major in computer science,
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,required for first major in computer science; required for second major in computer science,
12,General Requirements,52 credits,,,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in computer science; not required for second major in computer science,
14,   CHEM 111,,"Chemistry I    (Lect @ 3, Lab @ 1)",4 credits,,,required for first major in computer science; required for second major in computer science,
15,   ECE 233,,Introduction to Digital Systems,4 credits,,,required for first major in computer science; required for second major in computer science,
16,   ECE 332,,Computer Architecture II,4 credits,,,required for first major in computer science; not required for second major in computer science,
17,   MA 111,,Calculus I,5 credits,,,required for first major in computer science; required for second major in computer science,
18,   MA 112,,Calculus II,5 credits,,,required for first major in computer science; required for second major in computer science,
19,   MA 113,,Calculus III,5 credits,,,required for first major in computer science; required for second major in computer science,
20,   MA 221,,Matrix Algebra & Diff Equations,4 credits,,,required for first major in computer science; required for second major in computer science,
21,   MA 276,,Introduction to Proofs,4 credits,,,required for first major in computer science; required for second major in computer science,
22,   MA 374,,Combinatorics,4 credits,,,required for first major in computer science; required for second major in computer science,
23,   MA 381,,Intro to Probability w/ App to Stats,4 credits,,,required for first major in computer science; not required for second major in computer science,
24,   PH 111,,Physics I,4 credits,,,required for first major in computer science; required for second major in computer science,
25,   PH 112,,Physics II,4 credits,,,required for first major in computer science; required for second major in computer science,
26,CS Requirements,76 credits,,,,,,
27,   CSSE 120,,Intro to Software Development,4 credits,,,required for first major in computer science; required for second major in computer science,
28,   CSSE 132,,Introduction to Computer Systems,4 credits,,,required for first major in computer science; required for second major in computer science,
29,   CSSE 220,,Object Oriented Software Develpmnt,4 credits,,,required for first major in computer science; required for second major in computer science,
30,   CSSE 230,,Data Structures & Algorithm Anlsys,4 credits,,,required for first major in computer science; required for second major in computer science,
31,   CSSE 232,,Computer Architecture I,4 credits,,,required for first major in computer science; required for second major in computer science,
32,   CSSE 280,,Intro to Web Programming,4 credits,,,required for first major in computer science; required for second major in computer science,
33,   CSSE 304,,Programming Language Concepts,4 credits,,,required for first major in computer science; required for second major in computer science,
34,   CSSE 332,,Operating Systems,4 credits,,,required for first major in computer science; required for second major in computer science,
35,   CSSE 333,,Database Systems,4 credits,,,required for first major in computer science; required for second major in computer science,
36,   CSSE 371,,Software Requirements Engineering,4 credits,,,required for first major in computer science; required for second major in computer science,
37,   CSSE 374,,Software Design,4 credits,,,required for first major in computer science; required for second major in computer science,
38,   CSSE 473 (or MA),,Design & Analysis of Algorithms,4 credits,,,required for first major in computer science; required for second major in computer science,
39,   CSSE 474 (or MA),,Theory of Computation,4 credits,,,required for first major in computer science; required for second major in computer science,
40,"  CSSE 487,494 or 497",,"SR Research, Thesis or Capstone I",4 credits,,,required for first major in computer science; required for second major in computer science,
41,"  CSSE 488,495 or 498",,"SR Research, Thesis or Capstone II",4 credits,,,required for first major in computer science; required for second major in computer science,
42,"  CSSE 489,496 or 499",,"SR Research, Thesis or Capstone III",4 credits,,,required for first major in computer science; required for second major in computer science,
43,   CSSE _________,,"CSSE Electives must be courses numbered between 300 and 489, excluding CSSE372, 373, 375, 376 and 477; 490 - 492 only with approval.",4 credits,,,required for first major in computer science; required for second major in computer science,
44,   CSSE _________,,,4 credits,,,required for first major in computer science; required for second major in computer science,
45,   CSSE _________,,,4 credits,,,required for first major in computer science; required for second major in computer science,
46,Electives,28 credits,,,,,,
47,,,Technical Elective,4 credits,,,required for first major in computer science; not required for second major in computer science,"A Technical Elective can be courses in biology, chemistry, engineering
(excluding CSSE and EMGT), geology, mathematics, or physics."
48,,,Science Elective,4 credits,,,required for first major in computer science; not required for second major in computer science,
49,,,Free Elective,4 credits,,,required for first major in computer science; not required for second major in computer science,
50,,,Free Elective,4 credits,,,required for first major in computer science; not required for second major in computer science,
51,,,Free Elective,4 credits,,,required for first major in computer science; not required for second major in computer science,
52,,,Free Elective,4 credits,,,required for first major in computer science; not required for second major in computer science,
53,,,Free Elective,4 credits,,,required for first major in computer science; not required for second major in computer science,
54,,192 credits, - CS Total Credit Hours Required -,192 credits,,,,
