,Requirements for,ELECTRICAL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,Unnamed: 8,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,,,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",,,
2,HSSA Requirements,36 credits,,,,,,,
3,   HSSA #1 -HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
12,General Requirements,52 credits,,,,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
14,   CSSE 120,,Intro to Software Development,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
15,   CSSE 220,,Object-Oriented Software Development,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
16,   MA 111,,Calculus I,5 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
17,   MA 112,,Calculus II,5 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
18,   MA 113,,Calculus III,5 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
19,   MA 221,,Matrix Alg & Differential Equations I,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
20,   MA 222,,Matrix Alg & Differential Equations II,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
21,   MA 381,,Intro to Probability w/ App to Stats,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
22,   PH 111,,Physics I,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
23,   PH 112,,Physics II,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
24,   PH 113,,Physics III,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
25,Restricted Elect: BIO110/BIO120/BIO130/CHEM111/PH255/PH405,,,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,Must Include Lab,
26,EE Requirements,86 credits,,,,,,,
27,   ECE 160,,Engineering Practice,2 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
28,   ECE 180,,Introduction to Signal Processing,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
29,   ECE 203,,DC Circuits,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
30,   ECE 204,,AC Circuits,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
31,   ECE 205,,Circuits and Systems,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
32,   ECE 230,,Introduction to Embedded Systems,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
33,   ECE 233,,Introduction to Digital Systems,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
