,Requirements for,ENGINEERING DESIGN,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",
2,HSSA Requirements,20 credits,,,,,
3,   HSSA #1,,Humanities & Arts (H),4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
4,   HSSA #2  ,,Social Sciences (S),4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
5,   HSSA #3  ,,H or S or Language (L),4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
7,   HSSA #5,,H or S or Language (L),4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
8,General Requirements,44 credits,,,,,
9,   CHEM 111 & Lab,,"Chemistry I    (Lect @ 3, Lab @ 1)",4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
10,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
11,   MA 111,,Calculus I,5 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
12,   MA 112,,Calculus II,5 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
13,   MA 113,,Calculus III,5 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
14,   MA 221,,Matrix Algebra & Diff Equations I,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
15,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
16,   MA 223,,Engineering Statistics I,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
17,   PH 111,,Physics I,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
18,   PH 112,,Physics II,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
19,   BIO Elective,,Biology Elective with lab,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
20,ENGD Requirements,112 credits,,,,,
21,  BE 211,,"Circuits, Sensors & Measurements",3 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
22,  BE 222,,Mechanics of Materials,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
23,  ENGD 100,,Design & Communication Studio,8 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
24,  ENGD 110,,"Circuits, Softw Dev & Societal Imp",6 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
25,  ENGD 120,,"Integrating Electrical, Software, and Societal Systems",6 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
26,  ENGD 150,,Independent Study,2 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
27,  ENGD 151,,Matlab for Problem Solving,1 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
28,  ENGD 205,,Systems Accounting & Modeling I,3 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
29,  ENGD 215,,Systems Accounting & Modeling II,3 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
30,  ENGD 240,,User Experience Design Studio,6 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
31,  ENGD 250,,Human-Computer Interface Studio,6 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
32,  ENGD 260,,Product Design Studio,6 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
33,  ENGD 270,,Vertically Integrated Project I,2 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
