,Requirements for,MATHEMATICS,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,Unnamed: 8,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
0,Student Name:,Insert your name here,,Priority of this major:,,1st or 2nd,,,
1,Course Requirements,,Course Title,"Cr
Hr","Term courses were or
will be taken","Course
Grade",,,
2,HSSA Requirements,36 credits,,,,,,,
3,   HSSA #1 - HUM H190,,First-Year Writing Seminar,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
4,   HSSA #2  ,,Humanities & Arts (H),4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
5,   HSSA #3  ,,Social Sciences (S),4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
6,   HSSA #4  ,,H or S or Language (L),4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
7,   HSSA #5  ,,H or S or L,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
8,   HSSA #6  ,,H or S or L,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
9,   HSSA #7  ,,H or S or L,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
10,   HSSA #8  ,,H or S (cannot be a language),4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
11,   HSSA #9 - ENGL H290,,Tech & Profiessional Communications,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
12,General Requirements,33 credits,,,,,,,
13,   RHIT 100,,Foundations for Rose-Hulman Success,1 credits,,,required for first major in mathematics; not required for second major in mathematics,,
14,   BIO 101 (or higher),,Essential Biology,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
15,   CHEM 111,,"Chemistry I      (Lect @ 3, Lab @ 1)",4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
16,   CSSE 120,,Intro to Software Development,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
17,   CSSE 220,,Object Oriented Software Develpmnt,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
18,   PH 111,,Physics I,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
19,   PH 112,,Physics II,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
20,   PH 113,,Physics III,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
21,   Science Elective,,"BIO, CHEM or PH",4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
22,MA Requirements,74 credits,,,,,,,
23,   MA 111,,Calculus I,5 credits,,,required for first major in mathematics; required for second major in mathematics,,
24,   MA 112,,Calculus II,5 credits,,,required for first major in mathematics; required for second major in mathematics,,
25,   MA 113,,Calculus III,5 credits,,,required for first major in mathematics; required for second major in mathematics,,
26,   MA 190,,Contemporary Mathematics Problems,2 credits,,,required for first major in mathematics; not required for second major in mathematics,,
27,   MA 200,,Career Preparation,1 credits,,,required for first major in mathematics; not required for second major in mathematics,,
28,   MA 221,,Matrix Algebra & Diff Equations I,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
29,   MA 222,,Matrix Algebra & Diff Equations II,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
30,   MA 276,,Introduction to Proofs,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
31,   MA 366,,Functions of a Real Variable,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
32,   MA 371,,Linear Algebra I,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
33,   MA 381,,Intro to Probability,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
34,   MA __________,,"Senior Capstone  MA496, 497, 498",8 credits,,,required for first major in mathematics; required for second major in mathematics,Or 1st Major CrseSub*,  *Primary Major Senior Thesis or (Primary Major Senior Capstone + MA 491) allowed
35, Selected MA Core,,Specify "Core" to be completed**,,,,,,**Mathematics Core Options
